time, body_vx, body_vy, body_vz, inertial_vx, inertial_vy, inertial_vz, phi, theta, psi
60127.36328125,3.7233276088955e-05,2.4230408598669e-05,7.2428221756127e-05,-3.0316805350594e-06,2.2954565793043e-05,-8.1750680692494e-05,0.017173018306494,0.99759888648987,204.95558166504
60127.37890625,3.4686883736867e-05,4.8749181587482e-05,9.1961221187375e-05,7.6903343142476e-06,4.7130342863966e-05,-9.8773074569181e-05,0.017169950529933,0.99757850170135,204.95552062988
60127.39453125,2.9388798793661e-05,6.4095926063601e-05,9.9450997367967e-05,1.5761799659231e-05,6.2346021877602e-05,-0.00010357137944084,0.017160089686513,0.9975391626358,204.95545959473
60127.41015625,2.1087371351314e-05,7.2876937338151e-05,0.00010018867033068,2.3661334125791e-05,7.1115478931461e-05,-0.0001008772815112,0.017141304910183,0.99746966362,204.95538330078
60127.42578125,1.3781759662379e-05,7.4108225817326e-05,9.546415094519e-05,2.8300457415753e-05,7.2431124863215e-05,-9.3531743914355e-05,0.017122730612755,0.99740117788315,204.95532226563
60127.44140625,5.3467069847102e-06,7.0507419877686e-05,8.839455404086e-05,3.2940122764558e-05,6.8956607719883e-05,-8.3506994997151e-05,0.017097540199757,0.99730694293976,204.95526123047
60127.45703125,-7.0178424493861e-07,6.502415635623e-05,8.2660539192148e-05,3.5966171708424e-05,6.3575891545042e-05,-7.5669937359635e-05,0.01707611232996,0.99722474813461,204.95520019531
60127.47265625,-5.9232825151412e-06,5.806248736917e-05,7.8654571552761e-05,3.896099224221e-05,5.6686676543904e-05,-6.9724766945001e-05,0.017053855583072,0.99713605642319,204.95515441895
60127.48828125,-9.3062162704882e-06,5.1822305977112e-05,7.6697986514773e-05,4.1158484236803e-05,5.0482598453527e-05,-6.6424574470147e-05,0.017035337164998,0.99705731868744,204.95509338379
60127.50390625,-1.1582556908252e-05,4.5138971472625e-05,7.5827367254533e-05,4.2807736463146e-05,4.3816213292303e-05,-6.4568637753837e-05,0.017016442492604,0.99696904420853,204.95506286621
60127.51953125,-1.1878049008374e-05,4.0305461880052e-05,7.085085962899e-05,4.0942060877569e-05,3.9070204365999e-05,-5.9855894505745e-05,0.017002139240503,0.99689412117004,204.95500183105
60127.53515625,-1.0164096238441e-05,3.2695079426048e-05,6.1841405113228e-05,3.5533674235921e-05,3.1617299100617e-05,-5.229092494119e-05,0.01699030585587,0.99681740999222,204.9549407959
